"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"03/29/2016","35","Ozone","San Jose - Jackson","06-085-0005","AQS","8","35",".","30","24"
"03/30/2016","34","Ozone","San Jose - Jackson","06-085-0005","AQS","6","34",".","30","23"
"03/31/2016","41","PM2.5","Gilroy","06-085-0002","AQS","6","36","20","41","25"
"04/01/2016","41","Ozone","San Martin","06-085-2006","AQS","8","41",".","38","25"
"04/02/2016","41","Ozone","San Jose - Jackson","06-085-0005","AQS","7","41",".","37","15"
"04/03/2016","41","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","7","41","11","41","14"
"04/04/2016","38","Ozone","San Martin","06-085-2006","AQS","8","38",".","31","23"
"04/05/2016","48","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","10","44",".","48","30"
"04/06/2016","61","Ozone","San Martin","06-085-2006","AQS","11","61","27","42","44"
"04/07/2016","44","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","44",".","44","28"
"04/08/2016","48","PM2.5","San Jose - Jackson","06-085-0005","AQS","8","28",".","48","22"
"04/09/2016","25","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","7","25","7","25","15"
"04/10/2016","29","Ozone","San Jose - Jackson","06-085-0005","AQS","7","29",".","20","14"
"04/11/2016","31","Ozone","San Jose - Jackson","06-085-0005","AQS","7","31",".","22","23"
"04/12/2016","39","Ozone","San Jose - Jackson","06-085-0005","AQS","7","39","13","28","21"
"04/13/2016","44","Ozone","San Martin","06-085-2006","AQS","8","44",".","38","28"
"04/14/2016","43","Ozone","San Martin","06-085-2006","AQS","7","43",".","33","26"
"04/15/2016","41","Ozone","San Martin","06-085-2006","AQS","8","41","13","28","25"
"04/16/2016","46","Ozone","San Martin","06-085-2006","AQS","9","46",".","32","28"
"04/17/2016","58","Ozone","San Jose - Jackson","06-085-0005","AQS","9","58",".","31","32"
"04/18/2016","67","Ozone","San Jose - Jackson","06-085-0005","AQS","10","67",".","32","32"
"04/19/2016","58","Ozone","San Martin","06-085-2006","AQS","10","58",".","33","34"
"04/20/2016","50","Ozone","San Jose - Jackson","06-085-0005","AQS","8","50",".","28","30"
"04/21/2016","34","Ozone","San Jose - Jackson","06-085-0005","AQS","8","34","8","21","20"
"04/22/2016","42","Ozone","San Jose - Jackson","06-085-0005","AQS","8","42",".","29","22"
"04/23/2016","46","Ozone","San Martin","06-085-2006","AQS","7","46",".","21","22"
"04/24/2016","43","Ozone","San Martin","06-085-2006","AQS","5","43","12","23","9"
"04/25/2016","43","Ozone","San Martin","06-085-2006","AQS","5","43",".","31","33"
"04/26/2016","40","Ozone","San Martin","06-085-2006","AQS","6","40",".","38","27"
"04/27/2016","40","Ozone","San Jose - Jackson","06-085-0005","AQS","7","40","15","34","32"
"04/28/2016","40","Ozone","San Martin","06-085-2006","AQS","6","40",".","39","31"
"04/29/2016","39","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","6","37",".","39","19"
"04/30/2016","40","Ozone","San Jose - Jackson","06-085-0005","AQS","7","40","20","33","25"
"05/01/2016","43","Ozone","San Jose - Jackson","06-085-0005","AQS","8","43",".","32","23"
"05/02/2016","52","PM2.5","San Jose - Jackson","06-085-0005","AQS","7","40",".","52","17"
"05/03/2016","43","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","7","41","20","43","21"
"05/04/2016","43","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","7","34",".","43","17"
"05/05/2016","32","Ozone","San Martin","06-085-2006","AQS","6","32",".","23","21"
"05/06/2016","29","Ozone","San Martin","06-085-2006","AQS","7","29",".","25","23"
"05/07/2016","28","Ozone","San Martin","06-085-2006","AQS","7","28",".","21","18"
"05/08/2016","35","Ozone","San Jose - Jackson","06-085-0005","AQS","7","35",".","29","11"
"05/09/2016","33","Ozone","San Jose - Jackson","06-085-0005","AQS","7","33","12","31","15"
"05/10/2016","51","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","8","36",".","51","17"
"05/11/2016","50","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","7","36",".","50","18"
"05/12/2016","54","PM2.5","San Jose - Jackson","06-085-0005","AQS","7","35","22","54","21"
"05/13/2016","45","PM2.5","San Jose - Jackson","06-085-0005","AQS","7","36",".","45","14"
"05/14/2016","35","Ozone","San Martin","06-085-2006","AQS","6","35",".","24","15"
"05/15/2016","35","Ozone","San Martin","06-085-2006","AQS","6","35","6","16","7"
"05/16/2016","38","Ozone","San Martin","06-085-2006","AQS","7","38",".","36","18"
"05/17/2016","47","Ozone","San Martin","06-085-2006","AQS","8","47",".","43","27"
"05/18/2016","53","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","10","47","24","53","27"
"05/19/2016","43","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","6","38",".","43","14"
"05/20/2016","32","Ozone","Los Gatos","06-085-1001","AQS","5","32",".","26","22"
"05/21/2016","32","Ozone","Gilroy","06-085-0002","AQS","5","32","9","27","14"
"05/22/2016","30","Ozone","San Martin","06-085-2006","AQS","6","30",".","17","14"
"05/23/2016","29","Ozone","San Jose - Jackson","06-085-0005","AQS","6","29",".","19","21"
"05/24/2016","26","Ozone","San Jose - Jackson","06-085-0005","AQS","6","26","6","17","15"
"05/25/2016","31","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","6","25",".","31","16"
"05/26/2016","33","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","7","33",".","33","20"
"05/27/2016","58","Ozone","San Martin","06-085-2006","AQS","8","58","20","48","25"
"05/28/2016","74","Ozone","San Jose - Jackson","06-085-0005","AQS","8","74",".","60","23"
"05/29/2016","54","PM2.5","San Jose - Jackson","06-085-0005","AQS","7","47",".","54","13"
